reward,edge_ratio,num_layers,lr,batch_size,K,weight_decay,pooling_ratio,dataset,dropout_ratio,id
0.7954022988505747,0.6000125826617397,3,0.001,256,4,0,0.1384905941206072,Mutagenicity,0,Zu9Lr
0.8045977011494253,0.4832570148373651,3,0.001,256,4,0,0.8417634530910848,Mutagenicity,0,gfZrl
0.8160919540229885,0.24462700727301032,5,0.001,256,2,0,0.7154423585734783,Mutagenicity,0,gonyA
0.7885057471264367,0.8235653806323133,4,0.001,256,4,0,0.2137778303042767,Mutagenicity,0,hnagQ
0.7770114942528735,0.9181713233735469,6,0.001,256,3,0,0.6463384429817312,Mutagenicity,0,CkL8G
0.6367816091954023,0.8966263160970658,2,0.001,256,1,0,0.2020858119539778,Mutagenicity,0,sh0e4
0.7494252873563219,0.9794244087386834,6,0.001,256,3,0,0.5122649413559928,Mutagenicity,0,pBYmU
0.7632183908045977,0.33866810893378063,5,0.001,256,2,0,0.26651206493850976,Mutagenicity,0,UCzQq
0.7724137931034483,0.8640156062781434,5,0.001,256,3,0,0.30762984389703196,Mutagenicity,0,DGwXd
0.8436781609195402,0.43932093597882416,2,0.001,256,2,0,0.4589075363064107,Mutagenicity,0,pwcNk
0.7425287356321839,0.5061346211995454,3,0.001,256,4,0,0.5477474467167021,Mutagenicity,0,DGMfv
0.7816091954022989,0.2605950746406923,6,0.001,256,3,0,0.19027462192999345,Mutagenicity,0,wXdTd
0.7517241379310344,0.9615639296840715,5,0.001,256,2,0,0.14210474444715784,Mutagenicity,0,rVV81
0.5862068965517241,0.7678071741540371,6,0.001,256,1,0,0.2936170688066152,Mutagenicity,0,HJCjN
0.6160919540229886,0.6414174292414125,4,0.001,256,1,0,0.22232669704785435,Mutagenicity,0,TQkC8
0.8114942528735632,0.6014383335725848,5,0.001,256,4,0,0.32683139045944787,Mutagenicity,0,BrFOn
0.7931034482758621,0.38094464600870115,4,0.001,256,3,0,0.670346892095212,Mutagenicity,0,N1zgT
0.5678160919540229,0.8492103918259672,6,0.001,256,1,0,0.22395738792382158,Mutagenicity,0,KQiOr
0.8068965517241379,0.5843900687107202,4,0.001,256,2,0,0.7310967782117525,Mutagenicity,0,SChJe
0.7931034482758621,0.3436488098790357,3,0.001,256,4,0,0.42603606435745334,Mutagenicity,0,fGgGj
0.8275862068965517,0.5123408836171375,2,0.001,256,4,0,0.8744879870170623,Mutagenicity,0,ILHQ5
0.8390804597701149,0.994669800241575,2,0.001,256,4,0,0.5970078211143245,Mutagenicity,0,V9hof
0.8367816091954023,0.67017938997994,4,0.001,256,3,0,0.5492463793751087,Mutagenicity,0,ttnaN
0.7126436781609196,0.34773610867652327,3,0.001,256,1,0,0.6979859935719424,Mutagenicity,0,Hjs5k
0.7816091954022989,0.22238759193406957,5,0.001,256,3,0,0.3122371475483392,Mutagenicity,0,ZO34f
0.8022988505747126,0.9972983494738965,4,0.001,256,3,0,0.5751695613316475,Mutagenicity,0,xbjzf
0.8436781609195402,0.6482670663326966,4,0.001,256,3,0,0.8665478134732881,Mutagenicity,0,CUVqw
0.6206896551724138,0.5044442753802733,3,0.001,256,1,0,0.36648736685045535,Mutagenicity,0,yBJwx
0.696551724137931,0.34789533082840096,4,0.001,256,1,0,0.8691874599532022,Mutagenicity,0,NnSKt
0.6919540229885057,0.4732669793848314,6,0.001,256,1,0,0.5328497837231561,Mutagenicity,0,Ml1I2
0.7724137931034483,0.8210018905047896,6,0.001,256,2,0,0.6204796445530405,Mutagenicity,0,EUhXy
0.7954022988505747,0.5736064423227101,5,0.001,256,4,0,0.17633550986243327,Mutagenicity,0,lfpCe
0.8367816091954023,0.7033361358515335,5,0.001,256,3,0,0.704909985818836,Mutagenicity,0,GQyhh
0.6344827586206897,0.20519453247226924,4,0.001,256,1,0,0.36615038994492355,Mutagenicity,0,VMX6z
0.7103448275862069,0.21286402664458956,3,0.001,256,1,0,0.5747173517051097,Mutagenicity,0,krQt9
0.7977011494252874,0.9773264319573278,5,0.001,256,2,0,0.5558395863323933,Mutagenicity,0,SG7af
0.8413793103448276,0.2773007282030392,3,0.001,256,3,0,0.8118032828258887,Mutagenicity,0,cZGyU
0.7977011494252874,0.44408567394092774,6,0.001,256,3,0,0.49759874768967804,Mutagenicity,0,snFgc
0.7655172413793103,0.5921495441878437,6,0.001,256,3,0,0.5631333399997656,Mutagenicity,0,B0LeF
0.832183908045977,0.7416990230406808,2,0.001,256,2,0,0.42335386918599904,Mutagenicity,0,lvFTl
0.8436781609195402,0.22452652176304633,2,0.001,256,2,0,0.41125183965224077,Mutagenicity,0,U5phx
0.8459770114942529,0.7271493767668268,2,0.001,256,2,0,0.4261482901325916,Mutagenicity,0,tIjNV
0.8551724137931035,0.42734479863078795,2,0.001,256,2,0,0.4266316568716743,Mutagenicity,0,Q6UOI
0.8137931034482758,0.7297990001267312,2,0.001,256,2,0,0.44501196456143316,Mutagenicity,0,nC9hG
0.8114942528735632,0.7466192422017741,2,0.001,256,2,0,0.8021023080467227,Mutagenicity,0,swmAW
0.8413793103448276,0.73698364376628,2,0.001,256,2,0,0.45374040592606674,Mutagenicity,0,gbxjY
0.8344827586206897,0.7207505247624353,2,0.001,256,2,0,0.43456851064626856,Mutagenicity,0,Wk28o
0.8298850574712644,0.45736454867791354,2,0.001,256,2,0,0.45007977491660145,Mutagenicity,0,Lxcvy
0.8482758620689655,0.4381132536005451,2,0.001,256,2,0,0.4430037187897924,Mutagenicity,0,BsllS
0.8344827586206897,0.43189920754181244,2,0.001,256,2,0,0.46828474305456963,Mutagenicity,0,Z7pbW
0.8436781609195402,0.7028809632288456,2,0.001,256,2,0,0.3779824401029343,Mutagenicity,0,Sd5d4
0.8091954022988506,0.43494495142051476,2,0.001,256,2,0,0.46691027854667755,Mutagenicity,0,BFUoy
0.8413793103448276,0.4250436708604964,2,0.001,256,2,0,0.411217730636908,Mutagenicity,0,fq5Ca
0.825287356321839,0.40766219278264254,2,0.001,256,2,0,0.4707800061261307,Mutagenicity,0,X5G1v
0.8206896551724138,0.44397337718119734,2,0.001,256,2,0,0.4868672251662086,Mutagenicity,0,X7kDz
0.8206896551724138,0.4449828541681386,2,0.001,256,2,0,0.4861515732264308,Mutagenicity,0,SZlSW
0.8275862068965517,0.43079871297600625,2,0.001,256,2,0,0.5115684582496187,Mutagenicity,0,Btk1z
0.8275862068965517,0.44392284721370556,2,0.001,256,2,0,0.48185427575794126,Mutagenicity,0,q9JUm
0.825287356321839,0.4389739753384978,2,0.001,256,2,0,0.5147676823113009,Mutagenicity,0,EUJj5
0.8091954022988506,0.457302552703762,2,0.001,256,2,0,0.4910412028911335,Mutagenicity,0,ez90i
0.825287356321839,0.4352062356767794,2,0.001,256,2,0,0.50069072124632,Mutagenicity,0,LwH21
0.825287356321839,0.4073157140458494,2,0.001,256,2,0,0.6284471369029139,Mutagenicity,0,LZlU9
0.7908045977011494,0.5400117353789595,3,0.001,256,2,0,0.6224042964022969,Mutagenicity,0,kV4xF
0.8160919540229885,0.788578088471342,2,0.001,256,2,0,0.6227863492252605,Mutagenicity,0,NAV84
0.735632183908046,0.7953585478598908,2,0.001,256,4,0,0.1024717201098746,Mutagenicity,0,vMojp
0.8413793103448276,0.5331177304137619,2,0.001,256,4,0,0.6240018700913644,Mutagenicity,0,cYjVD
0.8137931034482758,0.393862457548961,2,0.001,256,4,0,0.49282119586952633,Mutagenicity,0,eDx3Y
0.7609195402298851,0.5505365206407067,3,0.001,256,4,0,0.10786423889702351,Mutagenicity,0,H3Z3k
0.7862068965517242,0.5621843717071655,3,0.001,256,4,0,0.5235392431913763,Mutagenicity,0,rImJC
0.7862068965517242,0.5406348570122191,3,0.001,256,4,0,0.5184094842444713,Mutagenicity,0,Ax0FO
0.7793103448275862,0.39841223397116404,3,0.001,256,4,0,0.3382254714209085,Mutagenicity,0,JLkan
0.7839080459770115,0.3126498659894875,3,0.001,256,4,0,0.5262317507909802,Mutagenicity,0,bBXgf
0.825287356321839,0.5488903009106907,3,0.001,256,4,0,0.607661785165977,Mutagenicity,0,daq0r
0.7931034482758621,0.5496094415283204,3,0.001,256,4,0,0.6038306595218847,Mutagenicity,0,rFUkv
0.7701149425287356,0.5282392251259909,3,0.001,256,4,0,0.24981483534750393,Mutagenicity,0,WAB5c
0.774712643678161,0.552114684692839,3,0.001,256,4,0,0.11770752869664425,Mutagenicity,0,YECVr
0.7885057471264367,0.5552196880745307,3,0.001,256,4,0,0.27198537339706214,Mutagenicity,0,lKnKt
0.7655172413793103,0.5559889093080856,3,0.001,256,4,0,0.26147607318413546,Mutagenicity,0,alSZK
0.7977011494252874,0.5574310791992805,3,0.001,256,4,0,0.2748694318209838,Mutagenicity,0,m3tU4
0.7586206896551724,0.5437021602185401,3,0.001,256,4,0,0.24000512899217885,Mutagenicity,0,S82em
0.7977011494252874,0.549208291424906,3,0.001,256,4,0,0.27448725568204557,Mutagenicity,0,W9jzK
0.7563218390804598,0.5728902308512378,6,0.001,256,4,0,0.26382258196473396,Mutagenicity,0,jJY5Q
0.8229885057471265,0.3044289186763068,3,0.001,256,4,0,0.7453902198348492,Mutagenicity,0,EO0zL
0.7724137931034483,0.2800813927347321,3,0.001,256,4,0,0.2621109262071111,Mutagenicity,0,Gs7Ma
0.7655172413793103,0.3112302134734687,3,0.001,256,4,0,0.264980677667058,Mutagenicity,0,wzsn6
0.6551724137931034,0.48658836217360457,4,0.001,256,2,0,0.2517543137605825,Mutagenicity,0,BD5N2
0.6689655172413793,0.3019879698814272,4,0.001,256,2,0,0.3255818043000282,Mutagenicity,0,TnnjK
0.6574712643678161,0.29547193490320917,4,0.001,256,2,0,0.38608767486143875,Mutagenicity,0,UyPrI
0.6873563218390805,0.6296491700572506,4,0.001,256,2,0,0.26738527124405664,Mutagenicity,0,A7biK
0.6689655172413793,0.6336604311162253,4,0.001,256,2,0,0.2535159664627329,Mutagenicity,0,zP03H
0.6482758620689655,0.6278105928670513,4,0.001,256,2,0,0.24986448956631963,Mutagenicity,0,miTcI
0.664367816091954,0.618210250949824,4,0.001,256,2,0,0.24921526859239831,Mutagenicity,0,E8SKN
0.6482758620689655,0.6331540495266221,4,0.001,256,2,0,0.24974417780675107,Mutagenicity,0,o8Bfr
0.6459770114942529,0.6242921878408058,4,0.001,256,2,0,0.2830616275617879,Mutagenicity,0,I8qYY
0.6666666666666666,0.6437305826284906,4,0.001,256,2,0,0.38357925776981533,Mutagenicity,0,rhiYB
0.6758620689655173,0.6499344966858298,4,0.001,256,2,0,0.3443393044792933,Mutagenicity,0,nFusz
0.664367816091954,0.6221897173004365,4,0.001,256,2,0,0.39391878538375324,Mutagenicity,0,WOw8P
0.6850574712643678,0.6346530926692775,4,0.001,256,2,0,0.39520372269656345,Mutagenicity,0,iDXdj
0.6919540229885057,0.6163114293197894,4,0.001,256,2,0,0.3849794404175459,Mutagenicity,0,oGZLS
0.6781609195402298,0.6669754540327486,4,0.001,256,2,0,0.3900401182341596,Mutagenicity,0,caVS9
0.6666666666666666,0.6574899665349441,4,0.001,256,2,0,0.39221145911681543,Mutagenicity,0,zMWfK
0.6666666666666666,0.9275809620078819,4,0.001,256,2,0,0.3472649291311952,Mutagenicity,0,rS4TI
0.6850574712643678,0.629843025205122,4,0.001,256,2,0,0.3832218026778178,Mutagenicity,0,K4qBo
0.6781609195402298,0.3705448005099534,4,0.001,256,2,0,0.3825117276913355,Mutagenicity,0,zL1Bf
0.6827586206896552,0.6198009428479874,4,0.001,256,2,0,0.386475858183307,Mutagenicity,0,AatUA
0.7816091954022989,0.6172027666371885,5,0.001,256,2,0,0.38242171655704105,Mutagenicity,0,cy6jc
0.8045977011494253,0.9324438346898396,5,0.001,256,2,0,0.3941562399015361,Mutagenicity,0,PNkjD
0.8068965517241379,0.9323513037561831,5,0.001,256,2,0,0.3841916740537015,Mutagenicity,0,MttfW
0.7885057471264367,0.3729818597887895,5,0.001,256,2,0,0.39112003575553117,Mutagenicity,0,Bjy8Q
0.8022988505747126,0.4972967048493271,5,0.001,256,2,0,0.3852649537299294,Mutagenicity,0,fkLM4
0.7103448275862069,0.6818698853494712,5,0.001,256,1,0,0.6641865082037366,Mutagenicity,0,rZTe5
0.6275862068965518,0.9011548718503731,5,0.001,256,1,0,0.3454733240977883,Mutagenicity,0,UnzOQ
0.6344827586206897,0.6667363099583961,5,0.001,256,1,0,0.35312675246241826,Mutagenicity,0,ouivo
0.6252873563218391,0.9250851600835341,5,0.001,256,1,0,0.34328122677396633,Mutagenicity,0,KQP0d
0.6344827586206897,0.6742566182669513,5,0.001,256,1,0,0.35447660957474036,Mutagenicity,0,dZhib
0.7011494252873564,0.3721462478232979,5,0.001,256,1,0,0.6519643455097061,Mutagenicity,0,wifXh
0.6666666666666666,0.8617118493734272,5,0.001,256,1,0,0.41550942567591115,Mutagenicity,0,w4GPq
0.7195402298850575,0.9395944451609555,2,0.001,256,1,0,0.6683709007405924,Mutagenicity,0,K0TWp
0.5632183908045977,0.9118305829187462,5,0.001,256,1,0,0.16344462467401666,Mutagenicity,0,PXDSV
0.7218390804597701,0.37381880751605584,5,0.001,256,1,0,0.678660629039813,Mutagenicity,0,bQutb
0.8,0.33228514382970165,2,0.001,256,3,0,0.2958128395074183,Mutagenicity,0,Y24Id
0.7931034482758621,0.35636669518044173,2,0.001,256,3,0,0.16473678075301346,Mutagenicity,0,A9dwO
0.8022988505747126,0.36018872000414537,2,0.001,256,3,0,0.6712454349480237,Mutagenicity,0,oCIzf
0.7770114942528735,0.3562934638214116,2,0.001,256,3,0,0.18067151945820764,Mutagenicity,0,yiPGF
0.7862068965517242,0.8296087624942137,2,0.001,256,3,0,0.18791666713968458,Mutagenicity,0,zSTzO
0.7655172413793103,0.37437472601740707,2,0.001,256,3,0,0.17328300518777928,Mutagenicity,0,v7Q80
0.8091954022988506,0.35483892359501795,2,0.001,256,3,0,0.651278675828197,Mutagenicity,0,V2Hh3
0.8206896551724138,0.24327529538038153,2,0.001,256,3,0,0.6686613692682996,Mutagenicity,0,zZxoy
0.8045977011494253,0.36816110101855654,2,0.001,256,3,0,0.17377350636316818,Mutagenicity,0,SzYk8
0.7931034482758621,0.5112461131869208,2,0.001,256,3,0,0.17506136893813823,Mutagenicity,0,fUjqb
0.7908045977011494,0.37152463181544804,2,0.001,256,3,0,0.1720175575587493,Mutagenicity,0,kOlJk
0.8344827586206897,0.3566558150094852,2,0.001,256,3,0,0.6826848892759958,Mutagenicity,0,w8pbK
0.8114942528735632,0.2385795575300917,2,0.001,256,3,0,0.6744718213137129,Mutagenicity,0,PNJ2w
0.7770114942528735,0.5176054674647137,2,0.001,256,3,0,0.1757424380841588,Mutagenicity,0,cNXxf
0.8022988505747126,0.2523598203663793,2,0.001,256,3,0,0.16423001994052044,Mutagenicity,0,FuO2y
0.8160919540229885,0.24380148257102546,2,0.001,256,2,0,0.3035106553204997,Mutagenicity,0,IM1et
0.7908045977011494,0.6995516803845281,2,0.001,256,3,0,0.20604205946748427,Mutagenicity,0,DUPJo
0.8390804597701149,0.8254764987776615,2,0.001,256,3,0,0.43232960649893326,Mutagenicity,0,jlCpr
0.8298850574712644,0.6977375141305037,2,0.001,256,3,0,0.4337521611852873,Mutagenicity,0,SUNDM
0.8,0.7628031858849758,2,0.001,256,3,0,0.2041163388392724,Mutagenicity,0,zkFWu
0.8229885057471265,0.24899028175569438,2,0.001,256,2,0,0.5869879209586631,Mutagenicity,0,WefDa
0.8298850574712644,0.6960861726084345,2,0.001,256,2,0,0.4400814460151957,Mutagenicity,0,A3SrI
0.825287356321839,0.2436837072590349,2,0.001,256,2,0,0.5803612802820379,Mutagenicity,0,HrgmA
0.8183908045977012,0.2587309113236274,2,0.001,256,2,0,0.20824644384123803,Mutagenicity,0,BGS3c
0.6873563218390805,0.5202641214340573,6,0.001,256,2,0,0.43203475214990583,Mutagenicity,0,PkeH5
0.7264367816091954,0.5837817036574505,6,0.001,256,2,0,0.43729776523019065,Mutagenicity,0,rUaI2
0.7494252873563219,0.766683870143296,6,0.001,256,2,0,0.5837136286358243,Mutagenicity,0,zyTxi
0.7494252873563219,0.7629266100782834,6,0.001,256,2,0,0.7425167244507873,Mutagenicity,0,fR2z8
0.7011494252873564,0.7598542041162434,6,0.001,256,2,0,0.43810654720392306,Mutagenicity,0,rd5W9
0.8137931034482758,0.6920175215860275,2,0.001,256,2,0,0.2098538851887451,Mutagenicity,0,SE10b
