id,pool,K,conv,num_layers,pooling_nodes,seed,pooling_edges,dataset,reward
j1wt8,LookHops,1,LiCheb,4,0.799915408,11,0.1,ENZYMES,0.6
FTRoh,LookHops,1,LiCheb,4,0.799915408,22,0.1,ENZYMES,0.26666666666666666
GvrDi,LookHops,1,LiCheb,4,0.799915408,33,0.1,ENZYMES,0.31666666666666665
Hm52P,LookHops,1,LiCheb,4,0.799915408,44,0.1,ENZYMES,0.5833333333333334
tBfoG,LookHops,1,LiCheb,4,0.799915408,55,0.1,ENZYMES,0.31666666666666665
taXyu,LookHops,1,LiCheb,4,0.799915408,66,0.1,ENZYMES,0.5166666666666667
jWNAR,LookHops,1,LiCheb,4,0.799915408,77,0.1,ENZYMES,0.48333333333333334
Wc9Jl,LookHops,1,LiCheb,4,0.799915408,88,0.1,ENZYMES,0.35
UBqPm,LookHops,1,LiCheb,4,0.799915408,99,0.1,ENZYMES,0.2833333333333333
tQhWk,LookHops,1,LiCheb,4,0.799915408,110,0.1,ENZYMES,0.23333333333333334
EJY4g,LookHops,1,LiCheb,4,0.799915408,11,0.2,ENZYMES,0.6166666666666667
TC87e,LookHops,1,LiCheb,4,0.799915408,22,0.2,ENZYMES,0.26666666666666666
pDZX1,LookHops,1,LiCheb,4,0.799915408,33,0.2,ENZYMES,0.2833333333333333
HMaSG,LookHops,1,LiCheb,4,0.799915408,44,0.2,ENZYMES,0.5666666666666667
xF96P,LookHops,1,LiCheb,4,0.799915408,55,0.2,ENZYMES,0.3
qBWHn,LookHops,1,LiCheb,4,0.799915408,66,0.2,ENZYMES,0.48333333333333334
aZGDz,LookHops,1,LiCheb,4,0.799915408,77,0.2,ENZYMES,0.55
gtyH4,LookHops,1,LiCheb,4,0.799915408,88,0.2,ENZYMES,0.4166666666666667
UeBrF,LookHops,1,LiCheb,4,0.799915408,99,0.2,ENZYMES,0.3
rP33b,LookHops,1,LiCheb,4,0.799915408,110,0.2,ENZYMES,0.23333333333333334
VUJjw,LookHops,1,LiCheb,4,0.799915408,11,0.3,ENZYMES,0.65
ouS6b,LookHops,1,LiCheb,4,0.799915408,22,0.3,ENZYMES,0.26666666666666666
LVbxC,LookHops,1,LiCheb,4,0.799915408,33,0.3,ENZYMES,0.43333333333333335
uy8nx,LookHops,1,LiCheb,4,0.799915408,44,0.3,ENZYMES,0.5
xxDdn,LookHops,1,LiCheb,4,0.799915408,55,0.3,ENZYMES,0.3333333333333333
FKbyM,LookHops,1,LiCheb,4,0.799915408,66,0.3,ENZYMES,0.45
DHqCn,LookHops,1,LiCheb,4,0.799915408,77,0.3,ENZYMES,0.45
j3WIP,LookHops,1,LiCheb,4,0.799915408,88,0.3,ENZYMES,0.5
eu2aU,LookHops,1,LiCheb,4,0.799915408,99,0.3,ENZYMES,0.2833333333333333
tTsRz,LookHops,1,LiCheb,4,0.799915408,110,0.3,ENZYMES,0.23333333333333334
UE59m,LookHops,1,LiCheb,4,0.799915408,11,0.4,ENZYMES,0.6666666666666666
m3nRT,LookHops,1,LiCheb,4,0.799915408,22,0.4,ENZYMES,0.26666666666666666
Fh6Ke,LookHops,1,LiCheb,4,0.799915408,33,0.4,ENZYMES,0.31666666666666665
Gh6d1,LookHops,1,LiCheb,4,0.799915408,44,0.4,ENZYMES,0.5833333333333334
Gd0Qy,LookHops,1,LiCheb,4,0.799915408,55,0.4,ENZYMES,0.31666666666666665
fyE81,LookHops,1,LiCheb,4,0.799915408,66,0.4,ENZYMES,0.55
KLhNO,LookHops,1,LiCheb,4,0.799915408,77,0.4,ENZYMES,0.5
X52fC,LookHops,1,LiCheb,4,0.799915408,88,0.4,ENZYMES,0.38333333333333336
QRdcW,LookHops,1,LiCheb,4,0.799915408,99,0.4,ENZYMES,0.3
kyQd8,LookHops,1,LiCheb,4,0.799915408,110,0.4,ENZYMES,0.23333333333333334
QZq64,LookHops,1,LiCheb,4,0.799915408,11,0.5,ENZYMES,0.55
XNHAG,LookHops,1,LiCheb,4,0.799915408,22,0.5,ENZYMES,0.26666666666666666
Elpx3,LookHops,1,LiCheb,4,0.799915408,33,0.5,ENZYMES,0.23333333333333334
ajPOC,LookHops,1,LiCheb,4,0.799915408,44,0.5,ENZYMES,0.5833333333333334
yc6pD,LookHops,1,LiCheb,4,0.799915408,55,0.5,ENZYMES,0.36666666666666664
NpgKy,LookHops,1,LiCheb,4,0.799915408,66,0.5,ENZYMES,0.5
QzVar,LookHops,1,LiCheb,4,0.799915408,77,0.5,ENZYMES,0.45
JHE2k,LookHops,1,LiCheb,4,0.799915408,88,0.5,ENZYMES,0.38333333333333336
IYyhC,LookHops,1,LiCheb,4,0.799915408,99,0.5,ENZYMES,0.2833333333333333
Tju9C,LookHops,1,LiCheb,4,0.799915408,110,0.5,ENZYMES,0.23333333333333334
Lv4zl,LookHops,1,LiCheb,4,0.799915408,11,0.6,ENZYMES,0.6166666666666667
SGHAI,LookHops,1,LiCheb,4,0.799915408,22,0.6,ENZYMES,0.26666666666666666
fA8cT,LookHops,1,LiCheb,4,0.799915408,33,0.6,ENZYMES,0.3333333333333333
gRduU,LookHops,1,LiCheb,4,0.799915408,44,0.6,ENZYMES,0.4666666666666667
bC6Mr,LookHops,1,LiCheb,4,0.799915408,55,0.6,ENZYMES,0.3
eGgQv,LookHops,1,LiCheb,4,0.799915408,66,0.6,ENZYMES,0.48333333333333334
Brcgu,LookHops,1,LiCheb,4,0.799915408,77,0.6,ENZYMES,0.4666666666666667
LG5AE,LookHops,1,LiCheb,4,0.799915408,88,0.6,ENZYMES,0.45
vPgtQ,LookHops,1,LiCheb,4,0.799915408,99,0.6,ENZYMES,0.3
PNT5X,LookHops,1,LiCheb,4,0.799915408,110,0.6,ENZYMES,0.23333333333333334
EYvdE,LookHops,1,LiCheb,4,0.799915408,11,0.7,ENZYMES,0.6
vF519,LookHops,1,LiCheb,4,0.799915408,22,0.7,ENZYMES,0.26666666666666666
uOFTM,LookHops,1,LiCheb,4,0.799915408,33,0.7,ENZYMES,0.2833333333333333
gbwOL,LookHops,1,LiCheb,4,0.799915408,44,0.7,ENZYMES,0.6
BQ3rE,LookHops,1,LiCheb,4,0.799915408,55,0.7,ENZYMES,0.3
X4QnK,LookHops,1,LiCheb,4,0.799915408,66,0.7,ENZYMES,0.5166666666666667
yBuKZ,LookHops,1,LiCheb,4,0.799915408,77,0.7,ENZYMES,0.4666666666666667
SrLm6,LookHops,1,LiCheb,4,0.799915408,88,0.7,ENZYMES,0.4166666666666667
MwydT,LookHops,1,LiCheb,4,0.799915408,99,0.7,ENZYMES,0.2833333333333333
PWBlF,LookHops,1,LiCheb,4,0.799915408,110,0.7,ENZYMES,0.23333333333333334
BXFEF,LookHops,1,LiCheb,4,0.799915408,11,0.8,ENZYMES,0.5333333333333333
uKhYM,LookHops,1,LiCheb,4,0.799915408,22,0.8,ENZYMES,0.26666666666666666
MNskV,LookHops,1,LiCheb,4,0.799915408,33,0.8,ENZYMES,0.45
Z66nS,LookHops,1,LiCheb,4,0.799915408,44,0.8,ENZYMES,0.6
OGsjG,LookHops,1,LiCheb,4,0.799915408,55,0.8,ENZYMES,0.31666666666666665
ZFD5w,LookHops,1,LiCheb,4,0.799915408,66,0.8,ENZYMES,0.5333333333333333
xJwl8,LookHops,1,LiCheb,4,0.799915408,77,0.8,ENZYMES,0.5
DaFST,LookHops,1,LiCheb,4,0.799915408,88,0.8,ENZYMES,0.36666666666666664
obGgt,LookHops,1,LiCheb,4,0.799915408,99,0.8,ENZYMES,0.3
eELSf,LookHops,1,LiCheb,4,0.799915408,110,0.8,ENZYMES,0.23333333333333334
sWSx4,LookHops,1,LiCheb,4,0.799915408,11,0.9,ENZYMES,0.6
wwZ7n,LookHops,1,LiCheb,4,0.799915408,22,0.9,ENZYMES,0.26666666666666666
zpLG3,LookHops,1,LiCheb,4,0.799915408,33,0.9,ENZYMES,0.43333333333333335
egWQ1,LookHops,1,LiCheb,4,0.799915408,44,0.9,ENZYMES,0.5
Cqekd,LookHops,1,LiCheb,4,0.799915408,55,0.9,ENZYMES,0.26666666666666666
sqvst,LookHops,1,LiCheb,4,0.799915408,66,0.9,ENZYMES,0.4166666666666667
hDOHQ,LookHops,1,LiCheb,4,0.799915408,88,0.9,ENZYMES,0.36666666666666664
W6kLw,LookHops,1,LiCheb,4,0.799915408,99,0.9,ENZYMES,0.3
PWblT,LookHops,1,LiCheb,4,0.799915408,110,0.9,ENZYMES,0.23333333333333334
ERC0Q,LookHops,1,LiCheb,4,0.799915408,77,0.9,ENZYMES,0.43333333333333335
